Dispatching_base_num,Pickup_date,locationID
B02510,2015-08-08 11:42:51,246.0
B02512,2015-08-19 14:08:43,113.0
B02617,2015-08-09 08:51:13,143.0
B00248,2015-08-05 17:46:00,
B01730,2015-08-15 11:17:00,
B02764,2015-08-13 16:11:56,93.0
B02617,2015-08-08 23:07:06,50.0
B02764,2015-08-03 18:39:47,211.0
B02835,2015-08-31 11:42:31,162.0
B02285,2015-08-21 22:45:00,132.0
B01467,2015-08-05 09:06:00,
B02800,2015-08-04 20:51:00,75.0
B02682,2015-08-09 19:57:44,74.0
B02764,2015-08-03 20:34:59,246.0
B02835,2015-08-13 22:18:35,80.0
B01667,2015-08-09 13:16:00,
B02764,2015-08-10 19:07:28,237.0
B00225,2015-08-31 10:55:00,
B00860,2015-08-01 16:19:00,
B02764,2015-08-09 17:39:24,228.0
B02835,2015-08-27 20:03:33,79.0
B02764,2015-08-13 20:54:13,164.0
B02682,2015-08-20 11:04:11,230.0
B02764,2015-08-20 23:55:05,174.0
B02800,2015-08-12 08:52:00,141.0
B02764,2015-08-07 08:56:42,170.0
B02512,2015-08-16 02:22:57,37.0
B02682,2015-08-07 10:18:17,158.0
B01285,2015-08-09 07:31:00,
B02765,2015-08-11 19:05:22,13.0
B02598,2015-08-07 00:52:16,256.0
B02800,2015-08-07 18:33:00,142.0
B02835,2015-08-17 23:00:17,132.0
B02835,2015-08-30 14:21:36,97.0
B02764,2015-08-11 07:43:29,225.0
B02836,2015-08-24 20:48:55,137.0
B02512,2015-08-19 14:42:25,78.0
B02764,2015-08-06 20:06:47,255.0
B02764,2015-08-12 13:06:20,138.0
B02764,2015-08-27 15:49:50,50.0
B01899,2015-08-05 07:30:00,
B02510,2015-08-29 19:33:20,162.0
b01195,2015-08-19 10:45:00,
B02764,2015-08-03 09:30:19,186.0
B02111,2015-08-13 14:49:00,
B02682,2015-08-11 08:39:58,79.0
B02764,2015-08-17 22:08:12,87.0
B01338,2015-08-02 23:13:00,
B02835,2015-08-22 18:24:22,107.0
B02617,2015-08-28 12:27:19,231.0
B00248,2015-08-10 15:58:00,
B02682,2015-08-02 19:44:38,114.0
B02617,2015-08-06 01:42:14,263.0
B02512,2015-08-15 13:37:47,107.0
B00381,2015-08-05 20:24:00,
B02764,2015-08-29 13:22:43,65.0
B02835,2015-08-31 14:39:25,230.0
B02510,2015-08-23 10:26:12,11.0
B02764,2015-08-14 05:00:25,170.0
B02764,2015-08-17 22:26:53,161.0
B00013,2015-08-31 23:45:00,
B02682,2015-08-18 22:50:09,234.0
B02800,2015-08-07 16:41:00,161.0
B02765,2015-08-11 22:07:46,163.0
B00693,2015-08-21 13:42:00,
B02764,2015-08-13 21:03:50,112.0
B00412,2015-08-17 17:17:00,
B02330,2015-08-03 22:34:04,
B02682,2015-08-11 15:32:09,231.0
B02512,2015-08-24 12:51:04,230.0
B02764,2015-08-10 08:22:27,239.0
B02764,2015-08-21 10:54:17,229.0
B02682,2015-08-11 17:41:56,142.0
B02682,2015-08-03 09:39:25,40.0
B02682,2015-08-15 00:59:04,79.0
B01239,2015-08-04 07:05:00,
B02080,2015-08-15 09:11:00,
B02764,2015-08-11 21:15:54,48.0
B02682,2015-08-12 10:08:11,138.0
B02617,2015-08-05 22:40:54,246.0
B00693,2015-08-23 00:35:00,
B02764,2015-08-17 06:00:47,74.0
B02472,2015-08-24 13:30:00,
B02682,2015-08-09 20:44:39,113.0
B02835,2015-08-16 17:10:03,138.0
B02835,2015-08-28 16:12:16,113.0
B02764,2015-08-21 21:32:09,166.0
B02510,2015-08-29 07:56:59,87.0
B02682,2015-08-01 18:47:33,61.0
B02682,2015-08-22 16:23:50,164.0
B02058,2015-08-04 19:24:00,
B02510,2015-08-22 20:42:27,239.0
B02764,2015-08-23 18:14:15,179.0
B02765,2015-08-04 22:29:58,49.0
B02634,2015-08-23 16:49:00,254.0
B02682,2015-08-07 13:03:21,161.0
B02764,2015-08-27 22:50:53,132.0
B02510,2015-08-07 21:14:57,170.0
B00860,2015-08-31 15:41:00,
B01667,2015-08-25 20:23:00,
B00693,2015-08-23 14:56:00,
B01593,2015-08-23 02:43:00,
B02765,2015-08-16 13:58:10,164.0
B02510,2015-08-02 00:58:16,85.0
B02682,2015-08-26 10:12:23,62.0
B02764,2015-08-19 22:50:06,79.0
B02764,2015-08-29 14:54:11,17.0
B02835,2015-08-16 10:16:35,162.0
B02682,2015-08-09 22:33:57,24.0
B02800,2015-08-11 20:15:00,170.0
B02800,2015-08-27 20:12:00,164.0
B02306,2015-08-28 15:14:00,
B02510,2015-08-02 21:11:11,170.0
B02835,2015-08-20 21:01:53,249.0
B02835,2015-08-07 17:26:59,93.0
B02682,2015-08-31 09:22:17,234.0
B02682,2015-08-06 15:02:38,239.0
B02764,2015-08-19 00:46:39,211.0
B02682,2015-08-18 12:43:40,142.0
B01973,2015-08-03 18:51:00,
B02682,2015-08-04 14:51:00,141.0
B02682,2015-08-13 08:09:27,129.0
B01998,2015-08-16 13:25:00,
B02835,2015-08-08 01:37:24,17.0
B00693,2015-08-21 23:32:00,
B01338,2015-08-22 07:44:00,
B01338,2015-08-08 20:59:00,
B02682,2015-08-26 09:06:51,4.0
B02682,2015-08-19 15:06:34,249.0
B02249,2015-08-30 23:32:00,173.0
B01338,2015-08-16 03:35:00,
B02067,2015-08-12 19:50:00,
B02800,2015-08-13 10:54:00,236.0
B02800,2015-08-05 10:58:00,137.0
B01984,2015-08-07 13:15:00,
B02163,2015-08-19 01:51:00,
B01559,2015-08-23 13:12:00,
B02682,2015-08-23 14:03:45,62.0
B02389,2015-08-05 16:10:00,
B01197,2015-08-13 20:30:00,
B02598,2015-08-04 07:47:40,230.0
B02764,2015-08-04 03:09:11,211.0
B01338,2015-08-14 19:45:00,
B02764,2015-08-11 09:10:58,90.0
B02682,2015-08-01 19:43:56,230.0
B00789,2015-08-24 15:45:00,
B02512,2015-08-14 23:52:12,68.0
B02682,2015-08-11 11:06:11,48.0
B02682,2015-08-25 09:00:44,220.0
B02800,2015-08-06 15:17:00,142.0
B02835,2015-08-10 19:35:54,144.0
B02682,2015-08-23 21:07:46,189.0
B02682,2015-08-10 23:29:33,198.0
B02682,2015-08-28 21:19:05,138.0
B02682,2015-08-02 00:05:01,17.0
B02682,2015-08-27 23:19:47,237.0
B02510,2015-08-14 19:49:06,87.0
B02764,2015-08-16 12:36:03,145.0
B02764,2015-08-22 10:42:28,189.0
B01899,2015-08-19 05:39:00,
B02765,2015-08-06 07:43:47,234.0
B02835,2015-08-01 20:54:59,256.0
B02835,2015-08-28 08:56:46,238.0
B02764,2015-08-11 10:23:41,231.0
